Month,Organisation name,Organisation Code,Directorate,Service Category label,Service Category code,Supplier name,Payment date,Transaction number,Net Amount,Purpose of spend,Procurement classification
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Central Services to the Public,7130,Amzn Mktp UK Amazon.Co.Uk,01/10/2018,12061160,168.95,"F0298177: USB-C cables, USB-C to HDMI cables & USB-C Mini docks for testing as part of Rolling Replacement Programme",Book Stores (5942)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Central Services to the Public,7130,Amzn Mktp UK Amazon.Co.Uk,01/10/2018,12061160,203.95,F0298177: USB Type C Docking station for testing as part of Rolling Replacement Programme,Book Stores (5942)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Central Services to the Public,7130,Amzn Mktp UK Amazon.Co.Uk,01/10/2018,12061160,284.83,F0298177: USB-C Docking stations and USB-C to DVI adapters for testing as part of Rolling Replacement Programme,Book Stores (5942)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Cultural And Related Services,7505,Leigh Lock And Safe Co Lt,01/10/2018,12061160,4.80,key cutting,Business Services - Default (7399)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Central Services to the Public,7540,Leigh Lock And Safe Co Lt,01/10/2018,12061160,99.90,key cutting,Business Services - Default (7399)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Cultural And Related Services,7510,Leigh Lock And Safe Co Lt,01/10/2018,12061160,20.20,key cutting,Business Services - Default (7399)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department of the Chief Executive,Central Services to the Public,7140,Amzn Mktp Uk,01/10/2018,12061160,10.80,Retractable Key Reels for the Technicians,Book Stores (5942)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Planning Services,5635,C2c Upminster,01/10/2018,12061160,12.70,travel to London - REDACTED PERSONAL DATA - BBfA meeting - Westminster,Passenger Railways (4112)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Planning Services,5635,Www.Essexchambers.Co.U,01/10/2018,12061160,300.00,Business exhibition stand at the Basildon business expo,Business Services - Default (7399)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Environmental And Regulatory Services,4715,Hotel On Booking.Com,01/10/2018,12061160,91.79,hotel for Sarcc partner meeting Bruges 12 Oct,Lodging/Hotels/Motels/Resorts (7011)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Environmental And Regulatory Services,4715,Eurostar Internet,01/10/2018,12061160,185.00,Eurostar CL to Bruges for SARCC meeting 12 Oct,Passenger Railways (4112)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department of the Chief Executive,Central Services to the Public,2045,Amazon.Co.Uk,01/10/2018,12061160,29.00,Web accessibility guide,Other Direct Marketers (5969)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Cultural And Related Services,4201,Toolstation Ltd,01/10/2018,12061160,26.68,Sledge Hammer,Hardware Stores (5251)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Cultural And Related Services,4201,Screwfix Southend On Sea,01/10/2018,12061160,40.66,Bar and nuts to install beacon for Remembrance Day,Lumber/Build. Supply Stores (5211)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for People,Central Services to the Public,1025,C2c - Leigh On Sea,01/10/2018,12061160,17.90,return train travel to London,Passenger Railways (4112)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department of the Chief Executive,Central Services to the Public,7075,Greater Anglia Trains,01/10/2018,12061160,37.30,Return train fare - Hatfield Peveral to Liverpool Street to attend London Audit Group,Passenger Railways (4112)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Cultural And Related Services,4015,Importanne Resort Rec,01/10/2018,12061160,359.31,Accomodation in Dubvronik for Best in Heritage conference.,Lodging/Hotels/Motels/Resorts (7011)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Cultural And Related Services,4015,Importanne Resort Rec,01/10/2018,12061160,359.34,Accomodation for Best In Heritage conference in Dubrovnik.,Lodging/Hotels/Motels/Resorts (7011)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for People,Children And Education Services,3310,Www.Nikestore.Com,01/10/2018,12061160,189.85,Fraudulent Transaction - Credit Received,Mens/Womens Clothing Stores (5691)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Cultural And Related Services,7111,Homebase Ltd 202,01/10/2018,12061160,9.00,Jones Memorial - Toilet Signs,Lumber/Build. Supply Stores (5211)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Central Services to the Public,7130,Amazon.Co.Uk Amazon.Co.Uk,01/10/2018,12061160,7.49,F0298177: USB Type-C to USB-A 3.1 Cable - 0.9 m for Rollout of new rolling replacement equipment,Misc Speciality Retail (5999)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Cultural And Related Services,4256,Sainsburys S/mkt,01/10/2018,12061160,4.60,cleaning materials for staff room - washing up liquids.,Grocery Stores/Supermarkets (5411)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Cultural And Related Services,4261,Amazon.Co.Uk,01/10/2018,12061160,7.99,Books to satisfy reservations and back stocking.,Other Direct Marketers (5969)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for People,Children And Education Services,3138,Sainsburys S/mkts,01/10/2018,12061160,10.55,fruit for Inspectors,Grocery Stores/Supermarkets (5411)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department for Place,Cultural And Related Services,4015,Greater Anglia Trains,01/10/2018,12061160,53.50,Rail travel for conservator attending Cluniac Priory conference,Passenger Railways (4112)
October,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department of the Chief Executive,Central Services to the Public,7140,Crest Medical,01/10/2018,12061160,19.94,Nitrile Gloves - Crest Medical - For Medical Supplies to Civic Tower Block,Lab/Med/Hospital Equipment (5047)
